period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2017/12,엘티씨,170920,디스플레이장비및부품,199,1439.5,476.5,91.5,139.8,93.7,,12.3,139.2,,963.0,687.7,179.6,,58.5,10.4,26.8,,581.0,315.0,,193.9,42.8,18.4,58.9,,1.0,,,,266.0,31.9,209.8,,1.5,,11.9,,478.4,227.6,42.4,858.5,855.7,37.6,,429.0,-59.6,450.7
2018/12,엘티씨,170920,디스플레이장비및부품,199,1669.9,656.2,115.9,144.2,112.3,,13.4,269.4,,1013.7,667.2,245.5,,64.6,9.3,27.1,,756.4,494.3,,194.6,133.7,32.1,128.5,,5.3,,,,262.1,36.5,192.8,,1.8,,18.7,,557.6,177.8,18.9,913.5,870.7,37.6,,429.0,-39.0,461.0
2019/12,엘티씨,170920,디스플레이장비및부품,199,1726.6,695.3,76.3,201.1,184.8,,6.7,225.3,,1031.3,676.2,257.6,,64.1,9.4,24.0,,807.3,519.8,,270.7,138.2,2.8,107.9,,0.3,,,,287.5,,197.8,63.7,1.8,,15.2,,612.3,215.9,62.7,919.3,873.1,37.6,,429.0,-37.7,460.5
2020/12,엘티씨,170920,디스플레이장비및부품,199,1657.5,694.2,75.0,240.5,150.6,,5.5,222.3,,963.3,633.0,234.0,,62.0,9.4,24.9,,779.7,521.4,29.4,243.0,116.9,36.1,95.1,,0.9,,,,258.2,88.4,95.1,57.5,2.3,,5.7,,602.9,169.2,14.2,877.8,834.7,38.4,,446.7,-49.3,413.8
2021/12,엘티씨,170920,디스플레이장비및부품,199,1592.9,769.2,128.7,76.0,267.4,,25.7,271.3,,823.8,584.9,148.6,,34.9,8.1,47.2,,754.3,629.0,11.5,239.3,202.6,11.8,116.0,,0.5,,,44.8,125.3,96.2,3.0,10.7,3.8,,4.5,,561.5,239.6,4.7,838.7,784.4,40.1,,493.1,-49.3,314.5
2022/12(E),엘티씨,170920,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,엠게임,058630,게임엔터테인먼트,235,390.7,122.8,,13.7,33.1,,6.2,69.8,,268.0,104.5,70.1,51.3,37.8,,,4.3,119.3,92.2,22.9,44.0,,,20.6,,,,,4.7,27.1,,10.1,,5.1,,,,77.0,-5.1,12.9,271.5,271.5,95.5,,284.1,,-109.1
2017/12,엠게임,058630,게임엔터테인먼트,235,444.1,138.8,,24.0,34.1,,6.5,74.1,,305.3,113.8,58.6,50.3,82.6,,,,99.5,68.9,,22.0,,,23.2,,,,,23.7,30.6,,10.1,,6.0,,,,32.1,-63.6,9.8,344.5,344.5,97.7,,300.0,,-83.1
2018/12,엠게임,058630,게임엔터테인먼트,235,413.1,144.3,2.0,5.9,48.7,,1.2,86.4,,268.7,122.3,47.8,49.2,47.2,,,2.2,88.6,67.3,,29.2,,,27.1,,,,,,21.3,,,,3.7,,,,29.2,-57.2,18.5,324.5,324.2,97.7,,300.0,,-57.6
2019/12,엠게임,058630,게임엔터테인먼트,235,485.1,201.5,0.3,3.4,52.4,,0.9,108.7,,283.6,119.6,41.0,48.3,39.5,,31.9,3.3,85.5,49.7,,10.1,,0.4,37.4,,,,,,35.9,,10.1,,3.1,,,,20.7,-123.8,8.1,399.5,400.7,97.7,,247.7,,72.7
