period,shareName,shareCode,marketName,marketCode,operatingCashFlow,depreciation,amortization,investingCashFlow,investingCashFlowIn,investingCashFlowOut,financingCashFlow,financingCashFlowIn,financingCashFlowOut,decreaseInTangibleAssets,decreaseInOtherTangibleAssets,decreaseInIntangibleAssets,increaseInInvestmentRealEstate,increaseInTangibleAssets,increaseInRealEstate,increaseInOtherTangibleAssets,increaseInIntangibleAssets,increaseInShortTermBorrowings,increaseInDebt,increaseInLongTermBorrowings,decreaseInShortTermBorrowings,decreaseInDebt,decreaseInLongTermBorrowings,acquisitionOfTreasuryStock,beginningOfTermCashAndCashEquivalents,endOfTermCashAndCashEquivalents
2017/12,DI동일,001530,"섬유,의류,신발,호화품",134,355.0,200.4,7.6,-129.2,170.2,299.4,-403.8,13.6,291.0,9.3,9.3,0.2,,223.0,,223.0,4.7,,,,,,,,448.5,261.6
2018/12,DI동일,001530,"섬유,의류,신발,호화품",134,295.8,201.6,7.8,-127.8,106.3,234.1,-127.6,3534.7,3447.8,10.4,10.4,17.8,,172.7,,172.7,26.6,,,,,,,10.0,261.6,304.0
2019/12,DI동일,001530,"섬유,의류,신발,호화품",134,513.2,176.3,3.2,-226.4,96.5,322.9,-268.1,3326.5,3566.1,16.3,16.3,0.7,0.6,300.3,,300.3,7.0,,,,,,,,278.5,299.5
2020/12,DI동일,001530,"섬유,의류,신발,호화품",134,345.1,200.9,1.6,98.0,284.3,186.3,-397.5,2603.5,2969.2,15.1,15.1,1.2,2.2,131.3,,131.3,3.3,,,,,,,4.9,299.5,337.4
2021/12,DI동일,001530,"섬유,의류,신발,호화품",134,248.5,200.0,1.6,-176.5,227.4,403.9,102.1,3457.4,3325.1,7.6,7.6,,2.7,172.3,,172.3,2.5,,,,,,,,337.4,521.8
2022/12(E),DI동일,001530,"섬유,의류,신발,호화품",134,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,DL건설,001880,건설,42,400.6,2.9,1.4,-225.0,1241.9,1466.9,-296.9,105.6,402.5,,,,,,,,,,,,,,,,,
2017/12,DL건설,001880,건설,42,583.4,3.5,3.0,1009.3,2303.6,1294.3,-0.3,105.6,105.9,,,3.2,,1.9,,1.9,1.4,105.6,,,105.6,,,,1714.5,3306.8
2018/12,DL건설,001880,건설,42,871.1,3.7,3.2,64.8,768.9,704.1,-940.8,105.6,1046.4,23.0,23.0,,,4.5,,4.5,5.5,105.6,,,105.6,405.6,534.9,,3306.8,3301.9
2019/12,DL건설,001880,건설,42,1263.1,49.6,4.1,-435.4,1155.9,1591.3,-990.0,140.6,1092.6,,,,,6.9,,6.9,10.7,140.6,,,140.6,405.6,498.5,,3301.9,3139.5
2020/12,DL건설,001880,건설,42,1591.3,83.9,19.9,1679.4,3567.3,1887.9,-776.5,140.7,856.5,0.8,0.8,,0.3,17.2,,17.2,5.7,140.6,,,259.4,127.9,372.1,0.7,3139.5,5633.8
2021/12,DL건설,001880,건설,42,803.5,90.7,35.7,-739.5,1601.3,2340.9,84.5,853.0,587.3,27.4,27.4,2.3,,13.2,,13.2,34.3,263.0,590.0,,,105.5,394.5,,5633.8,5782.2
2022/12(E),DL건설,001880,건설,42,-975.0,,,-390.0,,,20.0,,,,,,,,,,,,,,,,,,,
2020/12,DL이앤씨,375500,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12,DL이앤씨,375500,건설,42,5804.3,667.3,128.9,-3379.5,5524.1,8903.6,1136.2,34503.5,33323.6,54.3,2.0,2.4,18.5,143.2,1.2,29.1,48.0,29313.0,3540.0,1643.2,29050.0,105.5,394.5,32.1,16821.4,20447.6
