period,shareName,shareCode,marketName,marketCode,totalRevenue,costOfRevenue,grossProfit,operationExpense,operationIncome,interestIncome,interestExpense,otherNonOperationIncExp,earningBfTax,incomeTaxExpense,netIncome
2020/06,바른전자,064520,반도체와반도체장비,202,26.7,11.6,15.1,14.3,0.8,1.0,0.8,-95.4,-94.4,4.0,-98.3
2020/09,바른전자,064520,반도체와반도체장비,202,92.9,89.8,3.1,10.6,-7.6,0.1,0.1,-0.7,-8.2,,-8.2
2020/12,바른전자,064520,반도체와반도체장비,202,64.1,85.0,-20.8,14.2,-35.0,-1.0,0.4,-3.9,-40.3,15.2,-55.5
2021/03,바른전자,064520,반도체와반도체장비,202,85.9,82.2,3.7,8.6,-4.9,,0.2,2.9,-2.2,,-2.2
2021/06,바른전자,064520,반도체와반도체장비,202,117.5,113.0,4.5,9.9,-5.3,,2.2,2.2,-5.3,,-5.3
2021/09,바른전자,064520,반도체와반도체장비,202,235.2,214.1,21.1,10.9,10.2,,3.2,3.3,10.3,,10.3
2021/12(E),바른전자,064520,반도체와반도체장비,202,,,,,,,,,,,
2020/06,바이넥스,053030,제약,35,339.8,179.3,160.5,107.9,52.6,2.2,5.4,8.1,58.1,1.9,56.2
2020/09,바이넥스,053030,제약,35,329.6,164.6,165.1,114.1,51.0,0.7,0.7,-0.5,52.0,10.2,41.8
2020/12,바이넥스,053030,제약,35,348.5,180.5,168.0,126.6,41.3,29.4,114.2,-17.8,-61.5,-11.7,-49.8
2021/03,바이넥스,053030,제약,35,326.3,168.1,158.1,117.8,40.3,85.7,28.5,6.4,105.0,21.1,83.9
2021/06,바이넥스,053030,제약,35,285.9,171.2,114.6,116.6,-2.0,21.1,-2.8,,26.1,8.9,17.3
2021/09,바이넥스,053030,제약,35,334.1,191.5,142.6,109.3,33.4,28.4,3.3,-6.5,56.7,7.2,49.5
2021/12(E),바이넥스,053030,제약,35,395.0,,178.0,,48.0,,,,1.0,,
2020/06,바이브컴퍼니,301300,소프트웨어,33,,,,,,,,,,,
2020/09,바이브컴퍼니,301300,소프트웨어,33,,,,,,,,,,,
2020/12,바이브컴퍼니,301300,소프트웨어,33,,,,,,,,,,,
2021/03,바이브컴퍼니,301300,소프트웨어,33,76.9,57.4,19.5,38.5,-19.0,1.3,1.1,1.7,-17.1,-0.2,-16.9
2021/06,바이브컴퍼니,301300,소프트웨어,33,101.9,80.6,21.3,44.1,-22.8,2.2,4.0,0.1,-24.6,-6.7,-18.0
2021/09,바이브컴퍼니,301300,소프트웨어,33,78.7,54.5,24.2,44.9,-20.7,3.3,7.0,-0.2,-24.7,,-24.6
2021/12(E),바이브컴퍼니,301300,소프트웨어,33,,,,,,,,,,,
2020/06,바이오니아,064550,생물공학,146,592.7,118.7,474.1,153.7,320.4,-26.2,-124.9,-4.7,414.4,-0.2,414.6
2020/09,바이오니아,064550,생물공학,146,736.9,141.1,595.8,172.3,423.5,89.5,466.5,-9.4,37.7,5.8,31.9
2020/12,바이오니아,064550,생물공학,146,614.2,133.2,480.9,168.2,312.7,-43.0,-91.9,-51.2,311.4,-42.3,353.7
2021/03,바이오니아,064550,생물공학,146,498.8,123.7,375.1,193.7,181.5,7.5,1.9,15.7,202.8,49.7,153.1
2021/06,바이오니아,064550,생물공학,146,541.1,112.5,428.6,202.2,226.4,22.4,17.5,0.1,232.0,58.3,173.7
2021/09,바이오니아,064550,생물공학,146,639.9,129.7,510.2,509.2,1.0,123.7,258.4,8.0,-125.7,-32.9,-92.8
2021/12(E),바이오니아,064550,생물공학,146,,,,,,,,,,,
2020/06,바이오다인,314930,건강관리장비와용품,211,,,,,,,,,,,
2020/09,바이오다인,314930,건강관리장비와용품,211,,,,,,,,,,,
2020/12,바이오다인,314930,건강관리장비와용품,211,9.4,9.8,-0.3,5.6,-5.9,,21.5,-0.2,-27.6,-3.3,-24.3
2021/03,바이오다인,314930,건강관리장비와용품,211,6.6,5.8,0.8,9.1,-8.3,1.1,90.9,0.3,-97.8,,-97.8
2021/06,바이오다인,314930,건강관리장비와용품,211,9.1,9.2,,6.1,-6.1,,0.5,,-6.5,-5.6,-1.0
2021/09,바이오다인,314930,건강관리장비와용품,211,7.8,6.9,0.9,6.6,-5.7,1.5,0.4,0.4,-4.1,0.5,-4.6
2021/12(E),바이오다인,314930,건강관리장비와용품,211,,,,,,,,,,,
2020/06,바이오로그디바이스,208710,핸드셋,207,156.5,160.6,-4.0,18.2,-22.2,0.1,5.4,-4.5,-54.3,-14.6,-39.7
2020/09,바이오로그디바이스,208710,핸드셋,207,237.3,227.3,10.0,20.7,-10.7,0.1,4.4,-0.2,-28.3,1.1,-29.4
2020/12,바이오로그디바이스,208710,핸드셋,207,210.9,223.8,-12.9,20.8,-33.7,0.1,4.8,-8.5,-92.2,7.6,-99.7
2021/03,바이오로그디바이스,208710,핸드셋,207,186.0,184.6,1.4,25.2,-23.8,0.2,5.6,7.1,-38.1,-1.1,-37.0
2021/06,바이오로그디바이스,208710,핸드셋,207,179.0,175.5,3.4,29.4,-26.0,0.7,4.7,82.2,27.1,-4.1,31.2
2021/09,바이오로그디바이스,208710,핸드셋,207,255.6,230.0,25.6,27.5,-1.9,0.8,5.6,15.3,8.6,1.9,6.7
2021/12(E),바이오로그디바이스,208710,핸드셋,207,,,,,,,,,,,
