period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops,depreciation,amortization,price
2020/12,마니커에프앤지,195500,식품,38,898.16,210.0,9.0,9.0,8.0,13.0,13.0,,866.0,454.0,412.0,412.0,,54.0,11.0,57.0,-7.0,98.0,-87.0,326.0,4.1,6.15,8.48,4.55,110.29,645.03,,,3433.33,2.18,,,,12101348.0,764.06,37.0,,17.62,,,,,27.2,0.8,7421.98
2021/03,마니커에프앤지,195500,식품,38,783.96,208.0,7.0,7.0,6.0,5.0,5.0,,916.0,499.0,417.0,417.0,,54.0,23.0,-2.0,35.0,3.0,20.0,362.0,3.2,2.37,8.07,4.04,119.88,654.22,,,3475.0,1.88,,,,12101348.0,669.86,14.0,9.38,6.73,,,,,7.2,0.2,6478.29
2021/06,마니커에프앤지,195500,식품,38,1033.32,221.0,3.0,3.0,2.0,2.0,2.0,,1040.0,386.0,654.0,654.0,,79.0,6.0,-136.0,126.0,5.0,,253.0,1.41,0.84,4.94,2.92,59.01,715.88,162.5,39.74,4087.5,1.58,,,,15768000.0,1024.72,10.3,17.98,4.66,1.17,5506.25,35.63,181.25,7.1,0.2,6553.27
2021/09,마니커에프앤지,195500,식품,38,714.0,215.0,-2.0,-2.0,-2.0,-2.0,-2.0,,1042.0,390.0,652.0,652.0,,79.0,49.0,-125.0,,15.0,34.0,253.0,-0.9,-0.78,3.45,1.88,59.79,713.77,112.5,39.67,4075.0,1.1,,,,15768000.0,628.4,5.1,9.46,2.37,0.84,5337.5,42.0,106.25,7.2,0.2,4528.16
2021/12(E),마니커에프앤지,195500,식품,38,,223.0,5.0,,5.0,4.0,4.0,,,,,,,,,,,,,,2.24,1.79,,,,,56.25,,,,,,,15928000.0,,,,,,5418.75,,81.25,,,
2022/03(E),마니커에프앤지,195500,식품,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15928000.0,,,,,,,,,,,
2022/06(E),마니커에프앤지,195500,식품,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15928000.0,,,,,,,,,,,
2020/09,마이더스AI,222810,제약,35,545.16,16.0,-14.0,-14.0,-18.0,-18.0,-18.0,,225.0,148.0,77.0,77.0,,67.0,-18.0,-65.0,61.0,1.0,-19.0,126.0,-87.9,-108.01,,,191.74,42.61,,,592.31,7.08,,,,13400991.0,492.76,-11.9,,-74.38,,,,,2.1,,4068.06
2020/12,마이더스AI,222810,제약,35,794.88,31.0,-4.0,-4.0,12.0,12.0,12.0,,454.0,70.0,384.0,384.0,,120.0,-8.0,-108.0,228.0,4.0,-13.0,42.0,-11.24,38.13,,,18.2,235.12,,,1600.0,2.07,,,,24010454.0,938.08,1.8,,5.81,,,,,1.7,,3310.56
2021/03,마이더스AI,222810,제약,35,640.74,170.0,-22.0,-22.0,-25.0,-25.0,-25.0,,582.0,223.0,358.0,354.0,4.0,120.0,-34.0,-112.0,80.0,,-34.0,133.0,-13.03,-14.43,,,62.38,210.05,,,1475.0,1.81,,,,24010454.0,627.74,-18.8,-16.74,-11.06,,,,,3.4,,2668.59
