period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2021/09,크로바하이텍,043590,전기제품,221,318.5,152.1,37.5,0.0,71.9,,3.6,39.2,,166.4,74.2,0.5,,83.5,0.7,,7.4,43.0,35.5,,0.3,,1.0,21.9,0.5,11.8,,,,7.5,,,0.6,,,,,0.8,-38.4,8.6,275.5,275.5,153.8,,460.2,-13.7,-331.0
2021/12(E),크로바하이텍,043590,전기제품,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,크루셜텍,114120,핸드셋,207,992.2,755.7,288.6,28.2,82.2,,19.5,15.1,322.1,236.5,141.7,25.6,,61.3,,,8.0,632.2,624.5,115.5,250.1,91.2,46.9,77.9,,,,,38.9,7.7,,,7.7,,,,,456.8,434.6,1.9,360.0,361.2,109.6,,1956.8,-2.4,-1750.6
2020/09,크루셜텍,114120,핸드셋,207,732.5,526.0,293.4,56.6,91.2,,21.3,63.5,,206.5,133.0,23.4,,36.6,,,13.5,248.1,193.8,,65.4,,48.2,62.5,,,,,17.8,54.3,47.4,,6.9,,,,,112.8,12.4,4.1,484.4,485.6,209.6,,1974.8,-33.9,-1656.0
2020/12,크루셜텍,114120,핸드셋,207,599.9,344.9,194.8,38.7,53.9,,10.9,46.4,,254.9,121.9,21.3,,71.4,,0.3,40.0,191.7,136.6,,47.7,,4.1,83.3,,,,,1.4,55.2,47.4,,2.1,3.5,,2.1,,101.4,18.1,12.4,408.2,408.2,209.6,,1437.6,-33.9,-1245.2
2021/03,크루셜텍,114120,핸드셋,207,600.0,347.3,208.9,47.6,59.4,,12.5,18.9,,252.7,121.3,19.4,,71.7,,0.3,40.0,199.1,143.9,,54.3,,41.5,46.8,,,,,1.4,55.2,47.4,,5.6,,,2.1,,101.7,50.3,0.9,400.9,400.9,209.6,,1437.6,-33.9,-1241.8
2021/06,크루셜텍,114120,핸드셋,207,567.8,324.4,197.7,45.7,49.0,,14.1,18.0,,243.4,114.3,17.6,,72.9,,,38.5,198.5,149.6,,55.9,,44.3,48.0,,,,,1.4,48.9,47.4,,1.4,,,,,103.4,52.8,0.4,369.3,369.3,209.6,,1437.6,-33.9,-1273.4
2021/09,크루셜텍,114120,핸드셋,207,659.7,414.7,204.5,66.6,64.7,,12.7,66.2,,245.0,116.4,16.2,,73.4,,,39.1,300.2,298.9,51.8,45.9,47.5,64.4,87.8,,,,,1.5,1.3,,,1.3,,,,,145.2,46.3,4.0,359.5,359.5,209.6,,1437.6,-33.9,-1267.3
2021/12(E),크루셜텍,114120,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,크리스에프앤씨,110790,"섬유,의류,신발,호화품",134,2943.0,1974.7,1090.3,41.5,246.0,,5.4,589.9,,968.2,686.5,76.8,66.6,68.3,,32.6,37.5,713.3,679.5,,299.9,,11.1,310.3,11.9,42.0,,,4.2,33.8,,,12.7,20.4,,,,323.7,-286.1,17.6,2229.7,2229.7,117.2,,513.5,-131.2,1730.6
2020/09,크리스에프앤씨,110790,"섬유,의류,신발,호화품",134,3061.3,1993.2,1120.9,32.3,313.0,,5.2,519.6,,1068.1,774.9,76.7,66.5,77.9,,32.0,40.0,827.3,791.2,,274.1,,12.9,434.5,17.6,46.7,,,5.4,36.1,,,14.5,20.4,,,,301.5,-238.1,97.5,2234.0,2233.9,117.2,,513.5,-198.4,1809.1
