shareCode,shareName,shareNameEn,marketType,shareType
089230,THE E&M,THE E&M Co. Ltd.,KOSDAQ,보통주
213420,덕산네오룩스,DUK SAN NEOLUX CO.LTD,KOSDAQ,보통주
317330,덕산테코피아,Duksan Techopia Co. Ltd.,KOSDAQ,보통주
077360,덕산하이메탈,DUK SAN HI METAL CO.LTD.,KOSDAQ,보통주
090410,덕신하우징,DUCKSHIN HOUSING CO. LTD.,KOSDAQ,보통주
263600,덕우전자,DERKWOO ELECTRONICS CO.LTD.,KOSDAQ,보통주
194480,데브시스터즈,Devsisters corporation,KOSDAQ,보통주
263800,데이타솔루션,Datasolution Inc.,KOSDAQ,보통주
206560,덱스터,Dexter studios Co. Ltd.,KOSDAQ,보통주
261200,덴티스,DENTIS CO.LTD,KOSDAQ,보통주
067990,도이치모터스,DEUTSCH MOTORS INC.,KOSDAQ,보통주
006620,동구바이오제약,DongKoo Bio & Pharma Co. Ltd.,KOSDAQ,보통주
005160,동국산업,DONGKUK INDUSTRIES COMPANY,KOSDAQ,보통주
075970,동국알앤에스,DONGKUK REFRACTORIES & STEEL CO. LTD.,KOSDAQ,보통주
100130,동국S&C,DONGKUK STRUCTURES & CONSTRUCTION COMPANY LIMITED,KOSDAQ,보통주
086450,동국제약,DongKook Pharmaceutical Co.Ltd.,KOSDAQ,보통주
099410,동방선기,Dongbang Ship Machinery Co. Ltd,KOSDAQ,보통주
033500,동성화인텍,DONGSUNG FINETEC CO. Ltd,KOSDAQ,보통주
025950,동신건설,DongshinEngineering&Construction,KOSDAQ,보통주
088130,동아엘텍,DONG A ELTEK Co. Ltd,KOSDAQ,보통주
041930,동아화성,DONG-A HWA SUNG CO.LTD,KOSDAQ,보통주
060380,동양에스텍,Dongyang S·TEC Co. Ltd.,KOSDAQ,보통주
079960,동양이엔피,DONGYANG E&P INC.,KOSDAQ,보통주
228340,동양파일,TONGYANG PILE Inc.,KOSDAQ,보통주
088910,동우팜투테이블,DONGWOO FARM TO TABLE CO. LTD,KOSDAQ,보통주
094170,동운아나텍,DONGWOON ANATECH CO.LTD.,KOSDAQ,보통주
013120,동원개발,DongwonDevelopment,KOSDAQ,보통주
109860,동일금속,DONGIL METAL CO. LTD.,KOSDAQ,보통주
032960,동일기연,DongilTechnology,KOSDAQ,보통주
023790,동일철강,DongilSteel,KOSDAQ,보통주
005290,동진쎄미켐,DONGJIN SEMICHEM CO. LTD.,KOSDAQ,보통주
025900,동화기업,DONGWHA ENTERPRISE CO. LTD.,KOSDAQ,보통주
073190,듀오백,DUOBACK CO. LTD.,KOSDAQ,보통주
030350,드래곤플라이,Dragonfly GF Co. Ltd.,KOSDAQ,보통주
203650,드림시큐리티,Dream Security Co.Ltd.,KOSDAQ,보통주
223250,드림씨아이에스,DreamCIS INC.,KOSDAQ,보통주
060570,드림어스컴퍼니,Dreamus Company,KOSDAQ,보통주
217620,디딤,Didim Inc.,KOSDAQ,보통주
187870,디바이스이엔지,Device ENG CO.Ltd,KOSDAQ,보통주
367340,DB금융스팩8호,DB Finance No.8 Special Purpose Acquisition Co. Ltd.,KOSDAQ,보통주
367360,DB금융스팩9호,DB Finance No.9 Special Purpose Acquisition Co. Ltd.,KOSDAQ,보통주
066670,디스플레이텍,Display Tech Co.Ltd,KOSDAQ,보통주
