BAS_DD,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
2011/02/14,930613747.0,7754181826984.0,1222158223150069.0
2011/02/15,1000121698.0,8078605854659.0,1220384264069983.0
2011/02/16,1171674410.0,8396898203895.0,1207885434060259.0
2011/02/17,1202060485.0,9390023926351.0,1199752081255018.0
2011/02/18,1191797042.0,7788377328971.0,1220791005030882.0
2011/02/19,,,
2011/02/20,,,
2011/02/21,990389420.0,7939962478348.0,1218646713124129.0
2011/02/22,1011811162.0,8238195226344.0,1197276599105201.0
2011/02/23,1041462151.0,7922452609121.0,1192903597064086.0
2011/02/24,1010598959.0,7538503564579.0,1185476445101997.0
2011/02/25,912641893.0,6856075427003.0,1199405718854165.0
2011/02/26,,,
2011/02/27,,,
2011/02/28,794866684.0,6508467309726.0,1185351334770026.0
2011/03/01,,,
2011/03/02,744764679.0,6424392675811.0,1179215956358608.0
2011/03/03,797950209.0,6997096800520.0,1204095195201356.0
2011/03/04,924193835.0,8152286674801.0,1225183776506891.0
2011/03/05,,,
2011/03/06,,,
2011/03/07,775906238.0,6506147327711.0,1211565349504796.0
2011/03/08,888656191.0,7346867341852.0,1221916553560192.0
2011/03/09,1002663511.0,8697826560418.0,1224462265024953.0
2011/03/10,971882770.0,9401653828879.0,1214612173148741.0
2011/03/11,912447145.0,7458057144751.0,1199504552427699.0
2011/03/12,,,
2011/03/13,,,
2011/03/14,1132352112.0,11900688208209.0,1205708875427169.0
2011/03/15,1318064694.0,12761212811386.0,1176559969716099.0
2011/03/16,953503893.0,9502017481180.0,1195839957285654.0
2011/03/17,854861620.0,9073422584323.0,1195278401051007.0
2011/03/18,843437814.0,8853505658162.0,1208895815317056.0
2011/03/19,,,
2011/03/20,,,
2011/03/21,905302180.0,7576744887522.0,1223484084455291.0
2011/03/22,1049865476.0,9664210550196.0,1229655143519639.0
2011/03/23,1028833814.0,9698497669768.0,1229431280109070.0
2011/03/24,881194670.0,8845846043958.0,1243837312449954.0
2011/03/25,1038581191.0,9406615549910.0,1254067186745262.0
2011/03/26,,,
2011/03/27,,,
2011/03/28,886946595.0,8484796493741.0,1254972984392285.0
2011/03/29,869826001.0,8483205773050.0,1263886659478652.0
2011/03/30,1018444662.0,10694564780937.0,1275830084011649.0
2011/03/31,934770652.0,10447588502179.0,1285329538376780.0
2011/04/01,994275157.0,9937133490814.0,1294702146673116.0
2011/04/02,,,
2011/04/03,,,
2011/04/04,927606003.0,10110631579750.0,1292330114707013.0
2011/04/05,982097545.0,8896385509249.0,1300731999984454.0
2011/04/06,1166424358.0,11524115735910.0,1297910873929680.0
2011/04/07,1117656781.0,9728560879577.0,1295564414947884.0
2011/04/08,1060445745.0,11184301140291.0,1298555839907883.0
2011/04/09,,,
2011/04/10,,,
2011/04/11,884852242.0,9447708731516.0,1295228365100677.0
2011/04/12,944632688.0,9069167309159.0,1275275515809546.0
2011/04/13,856742356.0,8740502317965.0,1294347061628421.0
2011/04/14,1037125378.0,11459106503209.0,1305561961818895.0
2011/04/15,982182487.0,10463614385898.0,1305874338153012.0
2011/04/16,,,
2011/04/17,,,
2011/04/18,940230515.0,11929637919269.0,1303074147703831.0
2011/04/19,936777016.0,11133671183866.0,1294720633431459.0
2011/04/20,1003399897.0,12463145203143.0,1322130801343716.0
2011/04/21,1029334218.0,15028935031182.0,1337417960876392.0
2011/04/22,973551234.0,11840697784362.0,1335807234212246.0
2011/04/23,,,
2011/04/24,,,
2011/04/25,838384032.0,9842416753862.0,1346564218094890.0
2011/04/26,1068088615.0,13628284947574.0,1340558667801596.0
2011/04/27,1027958851.0,15401340451459.0,1340545906416322.0
2011/04/28,857423434.0,12501670247313.0,1341207104854447.0
2011/04/29,737506982.0,13034558839835.0,1331802202920299.0
2011/04/30,,,
2011/05/01,,,
2011/05/02,646377218.0,9908385496046.0,1353839562084858.0
2011/05/03,747287112.0,10047789954032.0,1337134634473533.0
2011/05/04,711280553.0,9751315138011.0,1325300437454121.0
2011/05/05,,,
2011/05/06,669709570.0,9822726169036.0,1306081589747131.0
2011/05/07,,,
2011/05/08,,,
2011/05/09,542567335.0,7023879874566.0,1301138602398681.0
2011/05/10,,,
2011/05/11,764572607.0,8483532293793.0,1316655484689317.0
2011/05/12,738528521.0,8843800501560.0,1292025570427672.0
2011/05/13,740269722.0,10019487272584.0,1291372837700764.0
2011/05/14,,,
2011/05/15,,,
2011/05/16,594664584.0,7343138445758.0,1282121089444230.0
2011/05/17,685411702.0,7075584289537.0,1280210647625966.0
2011/05/18,648837919.0,8560629166824.0,1298337984643634.0
2011/05/19,679304588.0,9431068319486.0,1273367839306281.0
2011/05/20,614386823.0,7528036066996.0,1282967909311591.0
2011/05/21,,,
2011/05/22,,,
2011/05/23,588826553.0,7522577367469.0,1249365298780938.0
2011/05/24,586054746.0,7143584389234.0,1252757989887387.0
2011/05/25,704974187.0,8100853832995.0,1238062244053569.0
2011/05/26,673417927.0,8549496491051.0,1270998684530594.0
2011/05/27,625467565.0,8464764200563.0,1276419545189167.0
2011/05/28,,,
2011/05/29,,,
2011/05/30,516522347.0,6795254686896.0,1272130973659643.0
2011/05/31,662316358.0,10773203738197.0,1300026184793210.0
2011/06/01,617041221.0,9281112905628.0,1299888377507758.0
2011/06/02,588639713.0,8453622453101.0,1283827732959848.0
2011/06/03,592150065.0,7961408727164.0,1283735121921947.0
2011/06/04,,,
2011/06/05,,,
2011/06/06,,,
2011/06/07,556311549.0,7259793269491.0,1275461524647960.0
2011/06/08,618032556.0,7730807465096.0,1265878059429050.0
2011/06/09,606701848.0,8414876116856.0,1260046532865052.0
2011/06/10,600299901.0,8301644163787.0,1245214125707976.0
2011/06/11,,,
2011/06/12,,,
2011/06/13,579646540.0,6734142365606.0,1244533630776733.0
2011/06/14,567019502.0,7290576904008.0,1261543863310820.0
2011/06/15,572438529.0,7187240745711.0,1267665151181327.0
2011/06/16,537345622.0,6878055040844.0,1244665007209404.0
2011/06/17,645391295.0,9431591560288.0,1235939863143029.0
2011/06/18,,,
2011/06/19,,,
2011/06/20,546510966.0,7536050493504.0,1228292028653902.0
2011/06/21,605259540.0,7872070263475.0,1244828134040615.0
2011/06/22,639180373.0,7579224713214.0,1254551850656621.0
2011/06/23,635401891.0,6540102807411.0,1250146608082828.0
2011/06/24,673701811.0,9598898519605.0,1271695107026857.0
2011/06/25,,,
2011/06/26,,,
2011/06/27,597027153.0,6443601420205.0,1260287630497114.0
2011/06/28,756179723.0,7644058487110.0,1256031047488145.0
2011/06/29,636841477.0,7416393071364.0,1275183868048988.0
2011/06/30,618319080.0,7832798231038.0,1281673546162157.0
2011/07/01,655440794.0,8297302442414.0,1296826583534749.0
2011/07/02,,,
2011/07/03,,,
2011/07/04,687505600.0,8399071721872.0,1309088862753278.0
2011/07/05,681346387.0,8106118109394.0,1319167130017167.0
2011/07/06,664977340.0,8841071946551.0,1324566014804079.0
2011/07/07,769991290.0,9975568606207.0,1330288841687806.0
2011/07/08,731740522.0,11211656512613.0,1330800803008188.0
2011/07/09,,,
2011/07/10,,,
2011/07/11,656624040.0,7387858207313.0,1318193982576293.0
2011/07/12,804691025.0,8497081296109.0,1290243084130137.0
2011/07/13,764881824.0,8596452991298.0,1301984157208759.0
2011/07/14,680445310.0,9802626337052.0,1303004037056129.0
2011/07/15,705632604.0,8108942541417.0,1313354478068929.0
2011/07/16,,,
2011/07/17,,,
2011/07/18,805995370.0,8349954142475.0,1307289144611386.0
2011/07/19,836072898.0,8878474528687.0,1308330743406026.0
2011/07/20,911051085.0,11028097101053.0,1322831683227000.0
2011/07/21,853968079.0,9632418523029.0,1316853196300836.0
2011/07/22,897567735.0,9635932757391.0,1333281022991371.0
2011/07/23,,,
2011/07/24,,,
2011/07/25,810820518.0,8048884488117.0,1321436583394841.0
2011/07/26,835923086.0,9215730103827.0,1332843343316244.0
2011/07/27,811090905.0,8965201149056.0,1336372453935386.0
2011/07/28,890044995.0,8509650536605.0,1326203618975224.0
2011/07/29,814385604.0,8531394909487.0,1313367716292824.0
2011/07/30,,,
2011/07/31,,,
2011/08/01,666943154.0,8424839200157.0,1337432582678542.0
2011/08/02,857087616.0,10098775763619.0,1307512896922672.0
2011/08/03,861296538.0,10375154579796.0,1275371561014037.0
2011/08/04,845011489.0,10249680087216.0,1246633384227914.0
