period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops
2022/03(E),디케이앤디,263020,"섬유,의류,신발,호화품",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),디케이앤디,263020,"섬유,의류,신발,호화품",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,디케이티,290550,핸드셋,207,1606.86,1032.0,57.0,57.0,50.0,37.0,37.0,,1170.0,492.0,678.0,678.0,,41.0,41.0,-28.0,0.0,21.0,20.0,55.0,5.52,3.63,17.82,9.31,72.59,1536.39,,,4237.5,2.37,0.0,,0.0,16462666.0,1807.66,,,,,,,
2020/12,디케이티,290550,핸드셋,207,1817.1,695.0,33.0,33.0,18.0,15.0,15.0,,1031.0,358.0,673.0,673.0,,41.0,9.0,-14.0,-1.0,14.0,-5.0,51.0,4.81,2.19,17.23,9.95,53.21,1575.43,,,4206.25,2.7,0.0,,0.0,16462666.0,2015.0,,,,,,,
2021/03,디케이티,290550,핸드셋,207,1553.72,668.0,24.0,24.0,33.0,31.0,31.0,,1059.0,343.0,716.0,716.0,,41.0,62.0,-36.0,-1.0,33.0,30.0,54.0,3.57,4.58,15.57,9.52,47.95,1649.82,,,4475.0,2.17,0.0,,,16462666.0,1777.42,,,,,,,
2021/06,디케이티,290550,핸드셋,207,1812.22,639.0,26.0,26.0,17.0,8.0,8.0,,1097.0,374.0,722.0,722.0,,41.0,3.0,-13.0,0.0,5.0,-2.0,53.0,4.11,1.22,13.3,8.39,51.85,1668.42,568.75,19.91,4512.5,2.51,0.0,0.0,0.0,16462666.0,2024.92,,,,0.6,18962.5,12.94,875.0
2021/09,디케이티,290550,핸드셋,207,2140.0,944.0,64.0,64.0,72.0,56.0,56.0,,1657.0,862.0,795.0,795.0,,82.0,141.0,-307.0,355.0,5.0,136.0,329.0,6.79,5.97,14.91,7.77,108.35,852.58,687.5,19.45,4968.75,2.69,,,0.0,16462666.0,2273.9,,,,0.73,18412.5,14.56,918.75
2021/12(E),디케이티,290550,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),디케이티,290550,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),디케이티,290550,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,디티앤씨,187220,전자장비와기기,197,662.4,207.0,-5.0,-5.0,-7.0,-7.0,-6.0,-1.0,1871.0,1040.0,831.0,828.0,2.0,55.0,12.0,-48.0,24.0,48.0,-36.0,880.0,-2.49,-3.24,-5.6,-2.69,125.14,1418.19,,,7527.27,0.8,0.0,,0.0,10951507.0,-49.9,,,,,,,
2020/12,디티앤씨,187220,전자장비와기기,197,795.6,217.0,-11.0,-11.0,-23.0,-23.0,-27.0,4.0,1878.0,1092.0,786.0,780.0,6.0,55.0,39.0,-34.0,-10.0,22.0,17.0,887.0,-4.94,-10.55,-6.59,-2.83,138.85,1319.32,,,7090.91,1.02,0.0,,0.0,10951507.0,69.0,,,,,,,
2021/03,디티앤씨,187220,전자장비와기기,197,791.04,199.0,-25.0,-25.0,-32.0,-32.0,-30.0,-2.0,1857.0,1080.0,777.0,768.0,9.0,56.0,36.0,-18.0,-6.0,19.0,17.0,869.0,-12.7,-16.11,-8.36,-3.56,139.04,1259.68,,,6981.82,1.03,0.0,,,11241818.0,94.54,109.0,0.87,,,,,
2021/06,디티앤씨,187220,전자장비와기기,197,794.56,227.0,-8.0,-8.0,-5.0,-3.0,-5.0,2.0,1835.0,1061.0,774.0,764.0,11.0,56.0,-10.0,-64.0,13.0,49.0,-60.0,888.0,-3.33,-1.28,-8.56,-3.5,137.07,1250.13,-618.18,-11.68,6945.45,1.04,,,,11241818.0,17.46,108.3,0.16,12.74,0.93,7727.27,-16.22,-445.45
2021/09,디티앤씨,187220,전자장비와기기,197,724.0,245.0,0.0,0.0,-4.0,-6.0,-14.0,8.0,1845.0,927.0,918.0,756.0,163.0,56.0,43.0,-14.0,11.0,27.0,17.0,760.0,-0.16,-2.53,-9.67,-3.45,100.91,1224.31,-690.91,-9.53,6872.73,0.96,,,0.0,11283291.0,117.1,107.8,1.09,12.14,0.82,8072.73,-16.45,-400.0
2021/12(E),디티앤씨,187220,전자장비와기기,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),디티앤씨,187220,전자장비와기기,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),디티앤씨,187220,전자장비와기기,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,딜리,131180,컴퓨터와주변기기,203,472.08,50.0,0.0,0.0,-5.0,-4.0,-4.0,0.0,623.0,62.0,562.0,562.0,0.0,29.0,14.0,-31.0,0.0,0.0,14.0,12.0,0.8,-7.58,-0.65,-0.61,10.95,1895.32,,,1937.93,0.84,0.0,,0.0,29350000.0,517.28,,,,,,,
2020/12,딜리,131180,컴퓨터와주변기기,203,431.34,65.0,2.0,2.0,-9.0,-10.0,-10.0,0.0,616.0,64.0,552.0,553.0,0.0,29.0,8.0,25.0,0.0,0.0,8.0,12.0,2.65,-14.78,-0.99,-0.89,11.51,1862.4,,,1906.9,0.78,40.0,,-117.48,29350000.0,504.74,,,,,,,
2021/03,딜리,131180,컴퓨터와주변기기,203,501.3,81.0,7.0,7.0,15.0,15.0,15.0,0.0,637.0,81.0,556.0,557.0,0.0,29.0,3.0,-3.0,0.0,1.0,2.0,12.0,8.68,18.42,-1.53,-1.31,14.61,1875.43,,,1920.69,0.9,,,,29350000.0,575.6,3.6,159.89,,,,,
2021/06,딜리,131180,컴퓨터와주변기기,203,567.0,101.0,15.0,15.0,17.0,11.0,11.0,0.0,647.0,80.0,567.0,567.0,0.0,29.0,33.0,-45.0,-11.0,5.0,28.0,13.0,14.68,10.82,2.2,1.97,14.12,1913.01,41.38,47.25,1955.17,1.0,,,,29350000.0,614.5,28.7,21.41,9.66,1.91,1024.14,23.62,82.76
2021/09,딜리,131180,컴퓨터와주변기기,203,564.0,74.0,1.0,1.0,4.0,4.0,4.0,0.0,650.0,79.0,571.0,571.0,0.0,29.0,-15.0,5.0,0.0,1.0,-17.0,13.0,1.59,5.97,3.65,3.26,13.83,1928.01,,28.2,,0.99,,,0.0,,601.3,33.4,18.0,10.4,1.76,,22.56,
2021/12(E),딜리,131180,컴퓨터와주변기기,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),딜리,131180,컴퓨터와주변기기,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),딜리,131180,컴퓨터와주변기기,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
